"Difficulty";"How challenging should the game be?";"bx bx-dumbbell"
"Length";"How long should the game last?";"bx bx-time-five"
"Language requirements";"Should the game have only little text, so that it is playable for non-native speakers?";"bx bx-file"
"Conflict";"How conflictual should the interaction between the players be? Peaceful togetherness or direct confrontation?";"bx-bolt-circle"
"Cooperative vs. competitive";"What kind of game do you prefer?<br><ul><li>Cooperative: All together against the game</li><li>Semi-cooperative / team-based: In teams against each other or 1 vs all</li><li>Competitive: All against all</li></ul>";"bx-horizontal-center"
