"Schwierigkeitsgrad";"Wie anspruchsvoll soll das Spiel sein?";"bx-dumbbell"
"Dauer";"Wie lang soll eine Partie gehen?";"bx-time-five"
"Kooperativ vs. kompetitiv";"Welche Art von Spiel soll es sein?";"bx-horizontal-center"
"Konflikt";"Wie konflikthaft soll die Interaktion zwischen den Spieler:innen sein? Friedliches Miteinander oder direkte Konfrontation?";"bx-bolt-circle"
"Sprachliche Anforderungen";"Soll das Spiel möglichst wenig Text enthalten, damit es auch für Nicht-Muttersprachler:innen gut spielbar ist?";"bx-file"
"Aktualität";"Soll das Spiel möglichst neu erschienen sein?";"bx-calendar"
